date,close,volume,Daily Return,Cumulative Return
2020-01-02,300.35001,33884314.0,,
2020-01-03,297.42999,36604600.0,-0.009722057275776463,-0.009722057275776463
2020-01-06,299.79999,29597401.0,0.007968261707570257,-0.001831263464915578
2020-01-07,298.39001,27864170.0,-0.004703068869348348,-0.0065257197760705266
2020-01-08,303.19,33060420.0,0.01608629591855304,0.00945560148308311
2020-01-09,309.63,42591634.0,0.02124080609518786,0.03089725217588657
2020-01-10,310.32999,35186623.0,0.002260730549365375,0.03322783308713739
2020-01-13,316.95999,30502330.0,0.021364354763134585,0.055302079064355913
2020-01-14,312.67999,40621057.0,-0.01350328159715053,0.041052037920691564
2020-01-15,311.34,30452727.0,-0.004285499689314909,0.03659060973562189
2020-01-16,315.23999,27627154.0,0.012526466242692935,0.04957542701596762
2020-01-17,318.73001,34420045.0,0.011070993879932711,0.061195270144989156
2020-01-21,316.57001,27674778.0,-0.006776895592605081,0.05400366059585027
2020-01-22,317.70001,25432169.0,0.003569510579982005,0.057765937813686996
2020-01-23,319.23001,26094188.0,0.004815863871077575,0.06285999457766045
2020-01-24,318.31,36599802.0,-0.0028819658903622702,0.05979686832705711
2020-01-27,308.95001,40414808.0,-0.029405265307404727,0.028633260241943237
2020-01-28,317.69,40519265.0,0.028289333928165128,0.05773261003054486
2020-01-29,324.34,54084956.0,0.02093235544083849,0.07987344498506999
2020-01-30,323.87,31655940.0,-0.0014490966269962158,0.07830860401835937
2020-01-31,309.51001,49774162.0,-0.04433874702812857,0.030497751606534784
2020-02-03,308.66,43429346.0,-0.002746308592733393,0.02766768677650533
2020-02-04,318.85001,34121782.0,0.033013704399663,0.06159480400883033
2020-02-05,321.45001,29676769.0,0.008154304276170476,0.07025137105871981
2020-02-06,325.20999,26335234.0,0.01169693539595773,0.08277003220342882
2020-02-07,320.03,29385908.0,-0.015928139230901306,0.06552352037544518
2020-02-10,321.54999,27300253.0,0.004749523482173501,0.0705842493562765
2020-02-11,319.60999,23553383.0,-0.006033276505466478,0.0641251185575129
2020-02-12,327.20001,28389294.0,0.023747755819522487,0.08939570203443714
2020-02-13,324.87,23664270.0,-0.007121057239576567,0.0816380528837013
2020-02-14,324.95001,20012702.0,0.00024628312863606006,0.08190444208741732
2020-02-18,319.0,38134455.0,-0.01831053951960182,0.062094188044142795
2020-02-19,323.62,23475508.0,0.014482758620689706,0.07747624180202362
2020-02-20,320.29999,25104231.0,-0.010258976577467438,0.06642243827459904
